Complexity,Loss,Equation
1,0.646074,"4.0314913"
3,0.3452952,"6.4603863 - pupil_min"
4,0.34327057,"abs(6.454391 - pupil_min)"
5,0.266944,"(pupil_min * -0.6874857) + 5.701335"
6,0.16886173,"(sqrt(pupil_size) - pupil_min) + 4.7337446"
7,0.086431876,"(pupil_size + 5.705824) + (pupil_min * -1.9631027)"
8,0.08147229,"abs((pupil_min * -2.0028522) + (pupil_size + 5.794619))"
9,0.059011046,"(sqrt(sqrt(ch * pupil_min)) - pupil_min) + 3.9532309"
10,0.055204887,"abs(sqrt(sqrt(pupil_min * ch)) + (3.947616 - pupil_min))"
11,0.05242928,"abs(pupil_min - ((sqrt(ch * pupil_min) * 0.22259931) + 5.0029874))"
12,0.049820874,"tanh((ch / 61.020954) + tanh(4.6448216 / square(pupil_min))) * 5.4297795"
13,0.022197753,"square(tanh(tanh(square(-3.051079 / pupil_size)) + (ch / 40.755234))) * 5.823029"
14,0.014283643,"square(tanh((ch / 28.041079) + tanh(square(-9.79381 / square(pupil_size))))) * 5.3014464"
15,0.01319048,"square(tanh(tanh(square(-1.8386855 / (pupil_size + -1.2661315))) + (ch / 31.84953))) * 5.44949"
16,0.01011153,"(square(tanh(tanh(square(-9.42591 / square(pupil_size))) + (ch / 28.795908))) + 0.07484018) * 4.903079"
17,0.0065729828,"(square(tanh((ch / 27.644802) + square(tanh((-8.385605 / pupil_size) + 1.4708918)))) * 4.7063317) + 0.54453087"
19,0.006385579,"(square(tanh(square(0.0118945055 - tanh((-8.30616 / pupil_size) + 1.4631118)) + (ch / 27.197903))) * 4.713389) + 0.4973513"
