Complexity,Loss,Equation
1,0.646074,"4.0314775"
3,0.5833937,"3.1517534 - z_pupil_min"
4,0.3380775,"my_sigmoid(1.0456225 - z_pupil_min)"
5,0.16245048,"my_sigmoid(my_sigmoid(z_max_const_velocity) - z_pupil_min)"
6,0.14470895,"my_sigmoid(sqrt(my_sigmoid(z_max_const_velocity)) - z_pupil_min)"
7,0.14320728,"my_sigmoid(my_sigmoid((z_ch * 0.4935082) - z_pupil_min))"
8,0.0805828,"my_sigmoid(((0.7070847 * z_ch) + 2.1025205) - z_pupil_size)"
9,0.07519302,"my_sigmoid((z_ch * 0.6567301) + abs(z_pupil_size - 1.886336))"
10,0.053093385,"my_sigmoid(((z_ch - (z_pupil_size * 1.3278369)) / 1.7732958) + 1.9448392)"
11,0.026167199,"my_sigmoid(((z_ch + abs(z_pupil_size)) + (3.6802409 - z_pupil_min)) * 0.45494652)"
12,0.024730565,"my_sigmoid(((abs(z_pupil_size) + (z_ch - my_sigmoid(z_pupil_min))) + 6.025612) * 0.47160345)"
15,0.023885265,"my_sigmoid((z_ch + (((4.246106 - z_pupil_min) * 0.7974222) + abs(z_pupil_size + -0.3563593))) * 0.4783072)"
16,0.023792692,"my_sigmoid(((abs((z_pupil_min - 4.2106085) * 0.799946) + z_ch) + abs(z_pupil_size + -0.36990047)) * 0.4791008)"
17,0.023784285,"my_sigmoid((z_ch + (abs(z_pupil_size + -0.37709475) + ((4.185054 - z_pupil_min) * 0.7930933))) * 0.4705264) + 0.033268593"
18,0.023742128,"my_sigmoid(((abs(z_pupil_size + -0.37849882) + (abs(4.1902475 - z_pupil_min) * 0.7941248)) + z_ch) * 0.4745709) + 0.021976661"
