Complexity,Loss,Equation
1,0.646074,"4.0314775"
3,0.34529516,"6.4603753 - pupil_min"
4,0.3432705,"abs(6.454286 - pupil_min)"
5,0.266944,"(pupil_min * -0.6874605) + 5.701262"
6,0.16886173,"(sqrt(pupil_size) - pupil_min) + 4.7337446"
7,0.08643188,"(pupil_size + (pupil_min * -1.9631407)) - -5.7059164"
8,0.08147229,"abs(((pupil_min * -2.0028522) + pupil_size) - -5.7946224)"
9,0.059011046,"sqrt(sqrt(ch * pupil_min)) - (pupil_min - 3.9531822)"
10,0.05520489,"abs((pupil_min - 3.9476166) - sqrt(sqrt(pupil_min * ch)))"
11,0.05242928,"abs((pupil_min - 5.0029345) - (sqrt(ch * pupil_min) * 0.2226023))"
12,0.051479194,"(tanh(pupil_size) * 4.0268793) + (sqrt(sqrt(ch * pupil_min)) - pupil_min)"
13,0.048269164,"abs((tanh(pupil_size) * (3.9912624 - pupil_min)) + sqrt(sqrt(ch * pupil_min)))"
15,0.04253108,"abs(pupil_min - sqrt(sqrt(pupil_min * (ch + square(pupil_size - 6.1991525))) * 5.0550056))"
17,0.032152217,"(sqrt(sqrt((pupil_min * ch) + square(square(pupil_size - 2.6756213) - 6.4802456))) * 2.1813564) - pupil_min"
18,0.023756836,"abs(pupil_min - sqrt(sqrt((ch * pupil_min) + square(6.5964565 - square(pupil_size - 2.6979675))) * 4.715711))"
19,0.02257636,"(sqrt(sqrt(square(5.219016 - square(pupil_size - 2.792939)) + (pupil_min * ch))) * 1.6225203) - (pupil_min - 1.8763591)"
20,0.021392785,"abs((pupil_min - 1.3933092) - (sqrt(sqrt(square(5.674461 - square(2.7708158 - pupil_size)) + (ch * pupil_min))) * 1.7634934))"
