Complexity,Loss,Equation
1,1.0939143,"1.696679"
3,0.5336237,"4.1255736 - pupil_min"
5,0.24540794,"ch * (0.26381287 / pupil_size)"
6,0.21608275,"ch / (square(pupil_size) + 2.9777591)"
7,0.118668266,"((ch * 0.060298916) + 2.9487824) - pupil_min"
9,0.09075934,"2.2556434 - ((ch * -0.09214637) - (pupil_size * -0.76193064))"
11,0.08798818,"((pupil_size - (ch / (pupil_size - -2.26695))) * -0.4914022) + 1.4472672"
13,0.07317305,"(0.34673834 * (ch / (pupil_size + 1.5941539))) - (-1.7907246 + (pupil_min * 0.62992465))"
15,0.07298725,"((pupil_size + ch) * (0.33181447 / (pupil_size + 1.445689))) - ((pupil_min * 0.6491804) + -1.6332527)"
17,0.06773078,"(((6.8302007 - ch) - (((pupil_min * -3.4271822) + 12.26179) * pupil_min)) / (pupil_size + 0.39189628)) * -0.27220362"
18,0.06404455,"(((7.0483956 - ch) - (pupil_size * ((pupil_min * -3.4897838) + 12.702415))) * -2.92929) / square(pupil_size + 3.385612)"
19,0.06198699,"(((2.052122 - ch) - (((pupil_min * -3.1873524) + 9.930266) * pupil_min)) * -0.26137295) / (pupil_size - (-0.9286146 / pupil_size))"
20,0.047310863,"(((7.7166157 - ch) - (((pupil_min * -3.2524436) + 11.139854) * pupil_min)) * -1.524663) / square((2.2682338 / pupil_min) + pupil_size)"
