Complexity,Loss,Equation
1,0.2687528,"0.4122407"
3,0.21073918,"square(sin(x0))"
4,0.12644649,"exp(x0 - 1.9602176)"
5,0.059637375,"sin(square(x0 * -0.59305525))"
7,0.05509848,"sin(square((0.08706372 - x0) * 0.5840348))"
8,0.027562458,"(sin(x0) + 0.2642234) * (x0 * 0.5061352)"
9,0.0111308815,"sin(square(x0 * 0.55721873)) - (x0 * -0.14612338)"
10,0.0040477742,"sin(square(x0 * 0.5152126)) - (cube(x0) * -0.029804038)"
12,0.0017947059,"(sin(square(x0 * 0.5075026)) - (cube(x0) * -0.032619514)) - -0.052902997"
14,0.0017049983,"(sin(square(x0 * -0.5051971)) - (cube(x0 + -0.04658498) * -0.032278378)) - -0.066282295"
