Complexity,Loss,Equation
1,0.11553607,"0.3398855"
4,0.07669144,"square(sin(sin(x0)))"
5,0.062047563,"sin(square(x0) * 0.3697351)"
6,0.039407965,"sin(sin(square(x0 * 0.60645175)))"
7,0.027825966,"0.70579827 * sin(square(x0) * 0.36668506)"
8,0.026902094,"((-0.20219433 - sin(x0)) * x0) * -0.4715407"
9,0.022840835,"((-0.20018114 - sin(sin(x0))) * x0) * -0.5512929"
10,0.018956408,"(x0 * 0.1443725) - sin((x0 * -0.3135467) * x0)"
12,0.018483166,"(x0 * 0.14900686) - sin(((x0 * -0.30610403) * x0) - 0.043552577)"
13,0.017997472,"(cube(x0) * 0.027461328) - sin((x0 + 0.2776584) * (x0 * -0.30178788))"
14,0.01799747,"(cube(x0) * 0.027461328) - sin((x0 + cube(0.6520118)) * (x0 * -0.30178788))"
15,0.01752308,"(cube(x0) * 0.027979525) - sin(((x0 * -0.2993421) * (x0 + 0.3337813)) - 0.044718035)"
