Complexity,Loss,Equation
1,0.719618,"0.084994495"
3,0.28997204,"x0 * 0.3730271"
4,0.27130464,"cube(x0) * 0.05309879"
5,0.18704529,"(x0 * 0.4362759) - -0.3398278"
6,0.051197313,"cube(x0 - -0.61446655) * 0.08932317"
8,0.033965122,"x0 * cube(sin(sin(x0) + 0.99238765))"
9,0.01135759,"sin(cube(sin(sin(x0) + 0.9881572))) * x0"
10,0.009691989,"sin(sin(cube(sin(sin(x0) + 0.99238765)))) * x0"
11,0.00764834,"sin(square(sin(sin(x0) + 0.81183845))) * (x0 + -0.22203048)"
12,0.0040166858,"(x0 - sin(x0 * 0.682152)) * (sin(sin(x0)) + 0.6978373)"
13,0.0038729473,"(x0 - sin(x0 * 0.6534305)) * (sin(sin(sin(x0))) + 0.6988215)"
14,0.003302029,"(sin(sin(x0 + 0.09758219)) + 0.75740296) * (x0 - sin(x0 * 0.7207451))"
15,0.003003429,"(sin(sin(sin(x0))) + 0.6747283) * (x0 - (sin(x0 * 0.73973864) + -0.073193304))"
