Complexity,Loss,Equation
1,0.25971258,"-0.2447473"
3,0.17185007,"x0 * 0.18215376"
4,0.100439645,"cube(x0 * 0.31689507)"
5,0.040789694,"cube(cube(x0 * 0.33537257))"
7,0.03971663,"cube(cube((0.31457666 - x0) * -0.30416626))"
8,0.022609705,"x0 * square(sin(sin(x0) - -0.83154064))"
9,0.017422495,"x0 * square(sin(cos(sin(x0) - -2.4545188)))"
10,0.017088633,"(x0 * 0.7876726) * square(cos(0.6496339 - sin(x0)))"
11,0.017075527,"x0 * sin(square(cos(0.671206 - sin(x0)) * 0.9247942))"
12,0.016824914,"((x0 + -0.077137254) * square(cos(0.66350824 - sin(x0)))) * 0.7943349"
14,0.016745264,"square(cos(0.6401548 - sin((x0 + 0.1803649) / 0.93388844)) * -0.8668897) * x0"
