Complexity,Loss,Equation
1,0.3859546,"0.16025805"
3,0.23741615,"x0 * 0.22994982"
4,0.17332579,"exp(x0 + -2.0953166)"
5,0.16686058,"0.27326313 - (x0 * -0.26528352)"
6,0.066292375,"cube((x0 * 0.37119877) + 0.24843447)"
8,0.062346447,"cube((x0 * 0.37312776) + 0.21215229) + 0.09104299"
9,0.014406976,"((-0.11843137 / exp(x0)) + 0.8146169) - cos(x0)"
10,0.0066376817,"(-0.11007346 / exp(x0)) + (0.76685965 - sin(cos(x0)))"
11,0.0049412646,"(-0.107275695 / exp(x0)) + (0.75067097 - (cos(x0) * 0.8152585))"
12,0.0037159375,"((-0.11037104 / exp(x0)) - sin(cos(x0) + 0.29659)) + 0.9923485"
13,0.003262436,"(0.93235505 - cos(x0 * -0.8432179)) + (-0.07753004 / exp(x0 * 1.1326306))"
14,0.0031286108,"(0.8240901 - sin(cos(x0 * 0.9065173))) + (-0.08439015 / exp(x0 * 1.0872073))"
