Complexity,Loss,Equation
1,0.3859546,"0.1602161"
3,0.23741615,"x0 / 4.3490953"
4,0.17332579,"exp(x0) * 0.123038664"
5,0.16686058,"(x0 * 0.26528352) - -0.27326313"
6,0.06629238,"cube(x0 + 0.6693333) * 0.05114641"
7,0.05747805,"cube(cube(x0 * 0.3538095) + 0.5069379)"
8,0.04852464,"(x0 * (sin(x0) - -0.6445785)) * 0.36676076"
9,0.019098442,"((-0.38136873 - sin(x0)) * -0.084842) * cube(x0)"
10,0.009999134,"((0.6688271 - exp(sin(x0))) * -0.07762044) * cube(x0)"
11,0.0070493943,"((-0.41512728 - sin(x0)) * -0.07937861) * cube(x0 + 0.15459119)"
13,0.0038270173,"(((x0 + cube(x0)) * 0.07531077) + 0.26170164) * sin(x0 - 0.41763175)"
14,0.0029191866,"((x0 + -1.0907186) * square(cos(exp((x0 * -0.28969172) + -0.14626154)))) + 0.32236773"
15,0.0024938958,"(((x0 * 0.14453593) + (cube(x0) * 0.062299374)) + 0.2637504) * sin(x0 - 0.45800897)"
