Complexity,Loss,Equation
1,0.3859546,"0.1601897"
3,0.23741615,"x0 * 0.22993912"
4,0.17332579,"exp(x0) * 0.12303863"
5,0.16686058,"(x0 * 0.26528248) + 0.27326196"
6,0.066292375,"cube((x0 * 0.37118885) + 0.24843638)"
8,0.048524637,"(x0 * -0.36672157) * (-0.64466363 - sin(x0))"
9,0.01909844,"cube(x0) * ((-0.38137138 - sin(x0)) * -0.084842026)"
11,0.0070493943,"(-0.41512585 - sin(x0)) * (cube(x0 + 0.15459475) * -0.07937816)"
13,0.005594041,"((sin(x0) - (x0 + 0.30167624)) * -0.75395477) * sin(x0 + -0.46141255)"
14,0.005289508,"cos(x0 + 1.0708686) * ((sin(sin(x0)) - (x0 + 0.33261988)) * 0.70283234)"
15,0.004329599,"(sin(x0 + -0.484327) * (sin(x0 / 1.1339909) - (x0 + 0.29528007))) * -0.81676877"
