Complexity,Loss,Equation
1,0.3859546,"0.16019802"
3,0.23741615,"x0 * 0.22993287"
4,0.17332579,"exp(x0) * 0.12303863"
5,0.14785255,"x0 / (4.1963644 - x0)"
6,0.06629238,"cube(x0 + 0.6692125) * 0.05114914"
7,0.05747587,"cube(cube(x0 * 0.35382393) + 0.5066923)"
8,0.04852464,"(x0 * 0.36674783) * (sin(x0) + 0.6445945)"
9,0.020309245,"cube((x0 * (sin(x0) + 1.198811)) * 0.24735571)"
11,0.008269102,"cos(x0 + 1.1884016) * ((cube(x0) + 2.9375098) * -0.08877841)"
13,0.0038332087,"((cube(x0) + (x0 + 3.4799852)) * -0.0756286) * cos(x0 + 1.1542395)"
15,0.0035685666,"cos(x0 + -2.044217) * (x0 + (0.24733952 - (sin(x0 * -0.7559468) * -1.189931)))"
