Complexity,Loss,Equation
1,0.3859546,"0.16015355"
3,0.23741615,"x0 * 0.22993112"
4,0.17332579,"exp(x0 + -2.095296)"
5,0.16686058,"(x0 + 1.0300794) * 0.26528352"
6,0.06629238,"cube((x0 + 0.6692844) * 0.37119597)"
7,0.057457075,"cube(cube(x0) + 11.420847) * 8.757359e-5"
8,0.048524637,"(x0 * (sin(x0) + 0.6445897)) * 0.36674973"
9,0.01909844,"((sin(x0) + 0.38137802) * cube(x0)) * 0.08484012"
10,0.009999133,"cube(x0) * ((exp(sin(x0)) + -0.66881937) * 0.07761943)"
11,0.007049396,"(cube(x0 + 0.15459438) * (sin(x0) + 0.41512635)) * 0.07937812"
13,0.0038270205,"(cube(x0) + (x0 + 3.4759593)) * (sin(x0 + -0.4176474) * 0.075307004)"
15,0.0024938968,"((cube(x0) * 0.062298063) + ((x0 * 0.14454186) + 0.26374716)) * sin(x0 + -0.45801404)"
