Complexity,Loss,Equation
1,2.4763994,"-0.192566"
3,0.4224426,"x0 * -0.55660546"
5,0.11323677,"0.63080734 - (x0 * 0.67128515)"
7,0.04027043,"-2.9168272 / ((3.85724 / x0) + 0.62849563)"
8,0.004809678,"exp((x0 * -0.2153146) - -1.3281834) + -3.4561481"
9,0.0031861996,"(-2.7168517 / ((3.4490848 / x0) - -0.39378294)) - -0.3026194"
10,0.0028731811,"(x0 * -0.3321543) + (exp(x0 * -0.43440056) - 0.7087957)"
11,0.002690512,"((x0 * -0.26419577) + exp(exp(x0 * -0.18304795))) - 2.4244404"
13,0.0025666624,"(((x0 * -0.10511245) + -2.6833205) / ((3.5378458 / x0) - -0.5515712)) - -0.29597417"
14,0.002314824,"((x0 * -0.4483054) + -0.056130633) + exp(square(x0 * 0.35710275) - exp(x0))"
