Complexity,Loss,Equation
1,2.4763994,"-0.192566"
3,0.4224426,"x0 * -0.55660546"
5,0.11323677,"0.63080734 - (x0 * 0.67128515)"
7,0.0033063835,"(56.61479 / (x0 - -8.481581)) + -6.3858633"
9,0.0031861996,"(-2.7168517 / ((3.4490848 / x0) - -0.39378294)) - -0.3026194"
10,0.0028731811,"(x0 * -0.3321543) + (exp(x0 * -0.43440056) - 0.7087957)"
11,0.002690512,"((x0 * -0.26419577) + exp(exp(x0 * -0.18304795))) - 2.4244404"
13,0.0025666624,"(((x0 * -0.10511245) + -2.6833205) / ((3.5378458 / x0) - -0.5515712)) - -0.29597417"
14,0.0021546045,"(-2.7541537 / ((0.008455383 / exp(x0)) + ((3.6161659 / x0) - -0.35603392))) - -0.3143143"
15,0.0020039047,"(-1.8454226 / ((2.3651364 / ((-0.19283824 / exp(square(x0))) + x0)) - -0.2989536)) - -0.2213825"
