Complexity,Loss,Equation
1,0.3859546,"0.16020188"
3,0.23741615,"x0 * 0.22993912"
4,0.17332579,"exp(x0) * 0.12303863"
5,0.14785255,"x0 / (4.196378 - x0)"
6,0.066292375,"cube(x0 + 0.6693007) * 0.05114801"
7,0.04649701,"cube(log((x0 * 0.42637315) + 1.7412047))"
8,0.028105112,"x0 * square(log(log(x0 + 5.0052805)))"
9,0.012380693,"(square(x0) * 0.13541694) * log(x0 + 3.6991513)"
10,0.011849212,"(log(log(x0 + 5.314646)) * square(x0)) * 0.3507045"
11,0.009817547,"((square(x0) * 0.14688402) * log(x0 + 3.748679)) - 0.074939735"
13,0.0073920297,"x0 * ((square(21.658045 - cube(x0)) * 0.00034573907) + (x0 * 0.2180509))"
14,0.0050482797,"(((cube(x0) * -0.03356234) + 0.32454965) + (x0 * 0.35664466)) * (x0 - 0.581591)"
15,0.002529668,"(square(7.146201 - cube(x0)) * -0.0018768272) + (((x0 * 0.21752383) + 0.09030373) * x0)"
