Complexity,Loss,Equation
1,0.7063978,"0.033882294"
2,0.7063977,"square(0.18385997)"
3,0.27083388,"x0 * 0.22532189"
5,0.01659386,"(x0 + 1.7805492) * 0.34573495"
6,0.012692833,"1.6681294 - exp(x0 * -0.21480167)"
7,0.009541431,"3.3820589 - exp(exp(x0 * -0.08542492))"
8,0.005728138,"(x0 + 2.1251013) / sqrt(x0 + 10.566585)"
10,0.0043614735,"(x0 * 0.27178386) - ((cube(x0) * -0.003916862) + -0.62392294)"
11,0.00036152385,"exp(exp(x0) * -1.1926767) + ((x0 * 0.500244) - -0.2635001)"
13,0.0003531829,"(x0 * 0.50087535) + (exp(exp(x0 * 1.0259658) * -1.2055414) + 0.26361114)"
14,0.00029994576,"(exp(square(exp(x0) + 0.59977376) * -0.5942573) + (x0 * 0.47379783)) + 0.3298457"
15,0.00018818509,"exp((exp(x0 * 1.3462994) + 0.17880294) * -1.2785293) + ((x0 * 0.47215554) + 0.32801613)"
