Complexity,Loss,Equation
1,0.3859546,"0.16020091"
3,0.23741615,"x0 * 0.22993912"
4,0.17332576,"exp(x0) * 0.12303123"
5,0.14785254,"x0 / (4.196284 - x0)"
6,0.066292375,"cube(x0 + 0.6693116) * 0.051147744"
7,0.057457194,"cube(cube(x0 * 0.35409945) - -0.5070464)"
8,0.05401076,"((x0 + 1.9138012) * square(x0)) * 0.06292179"
9,0.020501338,"square(x0) * ((cube(x0) * 0.0076365736) - -0.14570163)"
11,0.013787405,"square(x0) * (0.24218297 - (cube(x0 + -2.1468694) * -0.0022721617))"
13,0.0074340757,"(square(x0) * ((square(x0 + -0.83308154) * -0.025968086) - -0.33148164)) - 0.15504847"
