Complexity,Loss,Equation
1,0.3859546,"0.16018982"
3,0.23741615,"x0 * 0.22993912"
4,0.17332579,"exp(x0) * 0.12303865"
5,0.15453713,"log(log(x0 + 4.630752))"
6,0.066292375,"cube(x0 + 0.66930276) * 0.05114726"
7,0.04646012,"cube(log((x0 + 4.0802927) * 0.42825696))"
8,0.028105112,"square(log(log(x0 + 5.005226))) * x0"
9,0.01238069,"square(x0) * (log(x0 + 3.6991026) * 0.13541467)"
10,0.011849212,"(square(x0) * log(log(x0 + 5.314665))) * 0.3507145"
11,0.009817529,"((log(x0 + 3.7484777) * 0.1468427) * square(x0)) - 0.074717596"
