Complexity,Loss,Equation
1,0.3859546,"0.16019802"
3,0.23741615,"x0 * 0.2299525"
4,0.17332579,"exp(x0) * 0.12303715"
5,0.15453713,"log(log(x0 + 4.6307907))"
6,0.066292375,"cube(x0 + 0.66930115) * 0.051150113"
7,0.046460036,"cube(log((x0 + 4.080202) * 0.42825183))"
9,0.02050134,"square(x0) * ((cube(x0) * 0.007636628) + 0.14570168)"
11,0.013787713,"(cube((x0 * 0.13127229) + -0.2827732) + 0.24217802) * square(x0)"
12,0.010285144,"(square(x0) - square(-0.8595023 - (cube(x0) * -0.090740815))) * 0.24178474"
13,0.009240677,"(square(x0) * (0.2703114 + cube((x0 * 0.13992974) + -0.26636997))) + -0.11267746"
14,0.0025873822,"0.21734709 * (square(0.19970244 + x0) - square(-0.6923437 - (cube(x0) * -0.09242294)))"
